date,product,quantity,revenue,category
2016-01-01,Pepsi,21,1680,Beverage
2016-01-02,Pepsi,13,1040,Beverage
2016-01-03,Pepsi,12,960,Beverage
2016-01-04,Pepsi,12,960,Beverage
2016-01-05,Pepsi,12,960,Beverage
2016-01-06,Pepsi,16,1280,Beverage
2016-01-07,Pepsi,12,960,Beverage
2016-01-08,Pepsi,12,960,Beverage
2016-01-09,Pepsi,16,1280,Beverage
2016-01-10,Pepsi,26,2080,Beverage
2016-01-11,Pepsi,7,560,Beverage
2016-01-12,Pepsi,13,1040,Beverage
2016-01-13,Pepsi,9,720,Beverage
2016-01-14,Pepsi,18,1440,Beverage
2016-01-15,Pepsi,13,1040,Beverage
2016-01-16,Pepsi,8,640,Beverage
2016-01-17,Pepsi,13,1040,Beverage
2016-01-18,Pepsi,7,560,Beverage
2016-01-19,Pepsi,17,1360,Beverage
2016-01-20,Pepsi,13,1040,Beverage
2016-01-21,Pepsi,12,960,Beverage
2016-01-22,Pepsi,15,1200,Beverage
2016-01-23,Pepsi,23,1840,Beverage
2016-01-24,Pepsi,21,1680,Beverage
2016-01-25,Pepsi,15,1200,Beverage
2016-01-26,Pepsi,18,1440,Beverage
2016-01-27,Pepsi,14,1120,Beverage
2016-01-28,Pepsi,17,1360,Beverage
2016-01-29,Pepsi,16,1280,Beverage
2016-01-30,Pepsi,14,1120,Beverage
2016-01-31,Pepsi,14,1120,Beverage
2016-02-01,Pepsi,16,1280,Beverage
2016-02-02,Pepsi,16,1280,Beverage
2016-02-03,Pepsi,19,1520,Beverage
2016-02-04,Pepsi,9,720,Beverage
2016-02-05,Pepsi,14,1120,Beverage
2016-02-06,Pepsi,14,1120,Beverage
2016-02-07,Pepsi,18,1440,Beverage
2016-02-08,Pepsi,12,960,Beverage
2016-02-09,Pepsi,14,1120,Beverage
2016-02-10,Pepsi,16,1280,Beverage
2016-02-11,Pepsi,14,1120,Beverage
2016-02-12,Pepsi,15,1200,Beverage
2016-02-13,Pepsi,10,800,Beverage
2016-02-14,Pepsi,23,1840,Beverage
2016-02-15,Pepsi,8,640,Beverage
2016-02-16,Pepsi,19,1520,Beverage
2016-02-17,Pepsi,29,2320,Beverage
2016-02-18,Pepsi,17,1360,Beverage
2016-02-19,Pepsi,18,1440,Beverage
2016-02-20,Pepsi,18,1440,Beverage
2016-02-21,Pepsi,21,1680,Beverage
2016-02-22,Pepsi,16,1280,Beverage
2016-02-23,Pepsi,16,1280,Beverage
2016-02-24,Pepsi,10,800,Beverage
2016-02-25,Pepsi,12,960,Beverage
2016-02-26,Pepsi,9,720,Beverage
2016-02-27,Pepsi,21,1680,Beverage
2016-02-28,Pepsi,12,960,Beverage
2016-02-29,Pepsi,14,1120,Beverage
2016-03-01,Pepsi,16,1280,Beverage
2016-03-02,Pepsi,17,1360,Beverage
2016-03-03,Pepsi,20,1600,Beverage
2016-03-04,Pepsi,17,1360,Beverage
2016-03-05,Pepsi,17,1360,Beverage
2016-03-06,Pepsi,22,1760,Beverage
2016-03-07,Pepsi,17,1360,Beverage
2016-03-08,Pepsi,9,720,Beverage
2016-03-09,Pepsi,18,1440,Beverage
2016-03-10,Pepsi,15,1200,Beverage
2016-03-11,Pepsi,22,1760,Beverage
2016-03-12,Pepsi,17,1360,Beverage
2016-03-13,Pepsi,23,1840,Beverage
2016-03-14,Pepsi,13,1040,Beverage
2016-03-15,Pepsi,11,880,Beverage
2016-03-16,Pepsi,23,1840,Beverage
2016-03-17,Pepsi,19,1520,Beverage
2016-03-18,Pepsi,21,1680,Beverage
2016-03-19,Pepsi,25,2000,Beverage
2016-03-20,Pepsi,25,2000,Beverage
2016-03-21,Pepsi,22,1760,Beverage
2016-03-22,Pepsi,17,1360,Beverage
2016-03-23,Pepsi,19,1520,Beverage
2016-03-24,Pepsi,18,1440,Beverage
2016-03-25,Pepsi,27,2160,Beverage
2016-03-26,Pepsi,22,1760,Beverage
2016-03-27,Pepsi,28,2240,Beverage
2016-03-28,Pepsi,16,1280,Beverage
2016-03-29,Pepsi,22,1760,Beverage
2016-03-30,Pepsi,14,1120,Beverage
2016-03-31,Pepsi,17,1360,Beverage
2016-04-01,Pepsi,32,2560,Beverage
2016-04-02,Pepsi,24,1920,Beverage
2016-04-03,Pepsi,29,2320,Beverage
2016-04-04,Pepsi,18,1440,Beverage
2016-04-05,Pepsi,20,1600,Beverage
2016-04-06,Pepsi,25,2000,Beverage
2016-04-07,Pepsi,18,1440,Beverage
2016-04-08,Pepsi,23,1840,Beverage
2016-04-09,Pepsi,22,1760,Beverage
2016-04-10,Pepsi,36,2880,Beverage
2016-04-11,Pepsi,18,1440,Beverage
2016-04-12,Pepsi,30,2400,Beverage
2016-04-13,Pepsi,24,1920,Beverage
2016-04-14,Pepsi,22,1760,Beverage
2016-04-15,Pepsi,23,1840,Beverage
2016-04-16,Pepsi,22,1760,Beverage
2016-04-17,Pepsi,18,1440,Beverage
2016-04-18,Pepsi,23,1840,Beverage
2016-04-19,Pepsi,23,1840,Beverage
2016-04-20,Pepsi,18,1440,Beverage
2016-04-21,Pepsi,20,1600,Beverage
2016-04-22,Pepsi,22,1760,Beverage
2016-04-23,Pepsi,23,1840,Beverage
2016-04-24,Pepsi,26,2080,Beverage
2016-04-25,Pepsi,15,1200,Beverage
2016-04-26,Pepsi,20,1600,Beverage
2016-04-27,Pepsi,19,1520,Beverage
2016-04-28,Pepsi,21,1680,Beverage
2016-04-29,Pepsi,30,2400,Beverage
2016-04-30,Pepsi,30,2400,Beverage
2016-05-01,Pepsi,30,2400,Beverage
2016-05-02,Pepsi,18,1440,Beverage
2016-05-03,Pepsi,29,2320,Beverage
2016-05-04,Pepsi,24,1920,Beverage
2016-05-05,Pepsi,17,1360,Beverage
2016-05-06,Pepsi,23,1840,Beverage
2016-05-07,Pepsi,23,1840,Beverage
2016-05-08,Pepsi,26,2080,Beverage
2016-05-09,Pepsi,18,1440,Beverage
2016-05-10,Pepsi,29,2320,Beverage
2016-05-11,Pepsi,21,1680,Beverage
2016-05-12,Pepsi,19,1520,Beverage
2016-05-13,Pepsi,26,2080,Beverage
2016-05-14,Pepsi,30,2400,Beverage
2016-05-15,Pepsi,39,3120,Beverage
2016-05-16,Pepsi,13,1040,Beverage
2016-05-17,Pepsi,25,2000,Beverage
2016-05-18,Pepsi,33,2640,Beverage
2016-05-19,Pepsi,26,2080,Beverage
2016-05-20,Pepsi,28,2240,Beverage
2016-05-21,Pepsi,35,2800,Beverage
2016-05-22,Pepsi,32,2560,Beverage
2016-05-23,Pepsi,22,1760,Beverage
2016-05-24,Pepsi,26,2080,Beverage
2016-05-25,Pepsi,29,2320,Beverage
2016-05-26,Pepsi,17,1360,Beverage
2016-05-27,Pepsi,26,2080,Beverage
2016-05-28,Pepsi,33,2640,Beverage
2016-05-29,Pepsi,29,2320,Beverage
2016-05-30,Pepsi,18,1440,Beverage
2016-05-31,Pepsi,18,1440,Beverage
2016-06-01,Pepsi,24,1920,Beverage
2016-06-02,Pepsi,25,2000,Beverage
2016-06-03,Pepsi,38,3040,Beverage
2016-06-04,Pepsi,28,2240,Beverage
2016-06-05,Pepsi,35,2800,Beverage
2016-06-06,Pepsi,23,1840,Beverage
2016-06-07,Pepsi,22,1760,Beverage
2016-06-08,Pepsi,22,1760,Beverage
2016-06-09,Pepsi,24,1920,Beverage
2016-06-10,Pepsi,34,2720,Beverage
2016-06-11,Pepsi,31,2480,Beverage
2016-06-12,Pepsi,22,1760,Beverage
2016-06-13,Pepsi,22,1760,Beverage
2016-06-14,Pepsi,25,2000,Beverage
2016-06-15,Pepsi,22,1760,Beverage
2016-06-16,Pepsi,30,2400,Beverage
2016-06-17,Pepsi,22,1760,Beverage
2016-06-18,Pepsi,27,2160,Beverage
2016-06-19,Pepsi,28,2240,Beverage
2016-06-20,Pepsi,15,1200,Beverage
2016-06-21,Pepsi,25,2000,Beverage
2016-06-22,Pepsi,25,2000,Beverage
2016-06-23,Pepsi,23,1840,Beverage
2016-06-24,Pepsi,31,2480,Beverage
2016-06-25,Pepsi,31,2480,Beverage
2016-06-26,Pepsi,32,2560,Beverage
2016-06-27,Pepsi,26,2080,Beverage
2016-06-28,Pepsi,28,2240,Beverage
2016-06-29,Pepsi,25,2000,Beverage
2016-06-30,Pepsi,25,2000,Beverage
2016-07-01,Pepsi,42,3360,Beverage
2016-07-02,Pepsi,32,2560,Beverage
2016-07-03,Pepsi,35,2800,Beverage
2016-07-04,Pepsi,18,1440,Beverage
2016-07-05,Pepsi,31,2480,Beverage
2016-07-06,Pepsi,22,1760,Beverage
2016-07-07,Pepsi,33,2640,Beverage
2016-07-08,Pepsi,34,2720,Beverage
2016-07-09,Pepsi,35,2800,Beverage
2016-07-10,Pepsi,28,2240,Beverage
2016-07-11,Pepsi,18,1440,Beverage
2016-07-12,Pepsi,27,2160,Beverage
2016-07-13,Pepsi,30,2400,Beverage
2016-07-14,Pepsi,22,1760,Beverage
2016-07-15,Pepsi,33,2640,Beverage
2016-07-16,Pepsi,34,2720,Beverage
2016-07-17,Pepsi,37,2960,Beverage
2016-07-18,Pepsi,24,1920,Beverage
2016-07-19,Pepsi,25,2000,Beverage
2016-07-20,Pepsi,22,1760,Beverage
2016-07-21,Pepsi,34,2720,Beverage
2016-07-22,Pepsi,26,2080,Beverage
2016-07-23,Pepsi,34,2720,Beverage
2016-07-24,Pepsi,25,2000,Beverage
2016-07-25,Pepsi,21,1680,Beverage
2016-07-26,Pepsi,24,1920,Beverage
2016-07-27,Pepsi,28,2240,Beverage
2016-07-28,Pepsi,30,2400,Beverage
2016-07-29,Pepsi,30,2400,Beverage
2016-07-30,Pepsi,38,3040,Beverage
2016-07-31,Pepsi,31,2480,Beverage
2016-08-01,Pepsi,21,1680,Beverage
2016-08-02,Pepsi,22,1760,Beverage
2016-08-03,Pepsi,28,2240,Beverage
